求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,事業所名,就業場所,URL
08020-05442701,システムエンジニア（生産管理システム開発）,生産管理システム開発業務《開発環境》,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005442701&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-20047401,システム改修業務,電報の申込みシステム改修業務を行って頂きます。・開発言語：Ｊａｖａ・対応工程：基本設計～テスト（バグ改修など）,"215,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804020047401&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-20049801,官公庁向けシステム設計・開発エンジニア,官公庁向け既存システム等の設計・開発を行っていただきます。＊工程：設計～テスト（経験値に応じて）,"220,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804020049801&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-20050301,ＳＥ（システムエンジニア）,ＳＮＳ関連の設計・開発業務を行っていただきます。＊開発言語：ＪＡＶＡ,"215,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804020050301&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05392901,システムエンジニア（Ｃ言語）,制御系システムの設計及び開発を担当して頂きます。《開発環境》,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005392901&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05393101,システムエンジニア（Ｗｅｂ系）,Ｗｅｂ系システム開発業務《開発環境》,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005393101&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05398501,システムエンジニア（流通系システム）,＊流通系システムの設計及び開発を担当していただきます。【開発環境】,"250,000円〜480,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005398501&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22170501,公共系システム開発（ＳＥ）,＊公共系システムの開発を担当して頂きます。【開発環境】,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022170501&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05359301,システムエンジニア（組込系）,＊組込系システムの設計及び開発を担当していただきます。【開発環境】,"250,000円〜480,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005359301&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05213301,システムエンジニア／プログラマー,（１）社会インフラ分野社会インフラを支えるシステムとして、監視制御サーバやクライアントのアプリケーションソフト等システム開発,"230,000円〜360,000円","										（1）08時50分〜17時20分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005213301&kJKbn=1&jGSHNo=zcSfcmlYGg5dUNm%2Bsl7KyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14090-12281801,システムエンジニア／プログラマー（トライアル併用）：水戸,アプリケーションの基本設計、製造、結合テスト、運用・保守に関わる業務全般。,"180,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝,不問,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1409012281801&kJKbn=1&jGSHNo=t%2BOUBnS1jgDRFX4Svagwhg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-21460001,システムエンジニア（金融系システム開発）,金融系システム開発《開発環境》,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801021460001&kJKbn=1&jGSHNo=JhG1mokBupVuGeEsyIohPg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-21487301,システムエンジニア,・業務アプリケーションソフトウェアを中心に通信系制御系組込系等の各種ソフトウェアの設計開発・言語：Ｊａｖａ、ＨＴＭＬ５、ＰＨＰ、Ｃ、Ｃ＋＋、ＶＣ＋＋、,"174,000円〜299,400円","										（1）09時00分〜17時45分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801021487301&kJKbn=1&jGSHNo=%2FhjyZxjsyMiBHAkq3DGHpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05210201,システムエンジニア,＊電気設計、ソフト開発（Ｃ言語）、ハード設計、システム検査、シーケンス制御。＊インフラ関連設備（主に下水道等）の品質管理、試運転業務,"165,000円〜350,000円","										（1）08時50分〜17時35分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005210201&kJKbn=1&jGSHNo=VAD6CtVuaEwns9XMtIfkGA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-21332901,システムエンジニア,自治体、金融、制御等のシステム開発（アプリケーション系）における以下のＳＥ作業を行います。・システム設計書の作成,"230,000円〜360,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801021332901&kJKbn=1&jGSHNo=IW4GkWTGRJtCGMdXuCnmDQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-19060301,営業ＳＥ,下記の業務を行っていただきます。※ソフト開発案件の受注活動（新規活動）、取引先への訪問（御用聞き営業）、一般的な営業活動（パートナー企業の開拓、納品、,"210,000円〜320,000円",フレックスタイム制,土日祝他,制限あり,,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804019060301&kJKbn=1&jGSHNo=3R9CQZwdUeNxGRrGK77Ihw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-02856502,ＳＥ・プログラマ／水戸事業所,システム開発全般・業務系システム開発・ＷＥＢアプリケーション開発・モバイル系システム開発,"192,500円〜378,530円",フレックスタイム制,土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304002856502&kJKbn=1&jGSHNo=DIMGCi1Fy1GL6vcstusNBA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-21080201,システムエンジニア,下記の業務に従事していただきます。・電子機器、コンピュータハードウェア及びソフトウェアの企画,"185,000円〜250,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801021080201&kJKbn=1&jGSHNo=BzRfAHaGWTWSFzSeKazvXw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
