求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
13010-10673602,業務システムエンジニア（経験不問）／トライアル併用,企業内システムの開発（販売管理や在庫管理、営業支援等）に関わる業務をお任せします★業務システムを提供する側となるため、これまで使用する側だっ,"210,000円〜250,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010673602&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10685102,Ｗｉｎｄｏｗｓサーバエンジニア（経験者）,Ｗｉｎｄｏｗｓサーバに関わる業務に従事いただきます【業務内容一例】・ＡｃｔｉｖｅＤｉｒｅｃｔｏｒｙ設計,"250,000円〜500,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010685102&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10689202,Ｗｉｎｄｏｗｓサーバエンジニア／経験不問／トライアル併用,Ｗｉｎｄｏｗｓサーバに関わる業務に従事いただきます【プロジェクト事例】・Ｗｉｎｄｏｗｓサーバの構築補助、設定,"210,000円〜250,000円","										（1）09時30分〜18時30分
",株式会社アイシーズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010689202&kJKbn=1&jGSHNo=L%2BOethFFfVITbcwNyzXREA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10708702,ＩＴインフラ系のＳＥ職,・サーバーやネットワーク機器等の設計構築運用・簡易なスクリプト言語等でのプログラミング・社内外とのプロジェクト調整,"300,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010708702&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10714102,自社オープン系システム開発エンジニア,＊自社プロダクトや受託案件の開発全般を担当して頂きます　業務系、ＷＥＢ系システムの設計、製造、改修、テスト,"300,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010714102&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10729002,ソフトウェア開発エンジニア,・受託開発案件の設計・開発（Ｗｅｂ系、オープン系、制御系）・自社プロダクトの設計・開発,"300,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010729002&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10733702,ソフトウェア開発リーダー／サブリーダー,・受託開発作業に関するユーザーヒヤリング及び提案（Ｗｅｂ系、オープン系、制御系）・受託開発案件の要件定義・設計・開発,"400,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010733702&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10740402,受託開発ＳＥ（プロマネ・リーダー候補）,自社プロダクトや受託案件の開発全般を担当して頂きますオープン系システムの企画／設計／開発／顧客対応,"300,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010740402&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10769202,ＩＴプロダクトの技術営業,１．当社のＩＴソリューションやサービスの提案、販売営業２．商品のデモやイベントでの販促活動実施３．販路拡大や顧客アプローチの戦略立案と実行,"350,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010769202&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-11066902,ＪａｖａＳＥ・ＰＧ（経験にブランク可）,・Ｊａｖａによる設計やプログラム　開発を担当していただきます。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"230,000円〜320,000円","										（1）09時00分〜18時00分
",株式会社　アイテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301011066902&kJKbn=1&jGSHNo=zxh6cTKo5JSB84kVWuOR3w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
22030-10610601,システムエンジニア（東京支店）,当社東京支店において、ソフトウェア開発に関する次の業務を担当していただきます。　　　　　　　　　　　　　　　,"200,000円〜320,000円","										（1）09時00分〜18時00分
",株式会社　コサウェル,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2203010610601&kJKbn=1&jGSHNo=%2FZHhol4z8J%2FvUTQ5mD2QjA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10362202,ＩＴ技術職（ＡＩ・ＩｏＴ・ビッグデーの設計・構築）,最先端技術（ＡＩ・ＩｏＴ・ビッグデータ）の設計・構築,"250,000円〜551,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010362202&kJKbn=1&jGSHNo=CtYvdwOSXk1ZFajmHvwNTQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-10370202,ＩＴ技術職,ＩＴ開発（要件定義・基本設計・詳細設計・プログラミング・テストの全工程）特に「ビッグデータ解析」「ＡＩ」に興味があり、研鑽を積みたい,"281,340円〜391,429円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301010370202&kJKbn=1&jGSHNo=CtYvdwOSXk1ZFajmHvwNTQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
