求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
13010-05947902,システムエンジニア／プログラマー,金融、製造、通信、ネットワーク、組立制御、物流、公共、医療、ＷＥＢ等幅広い分野におけるシステムの設計・開発。それに付帯する関連作業を含む。,"184,500円〜300,800円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005947902&kJKbn=1&jGSHNo=Pi6fCrEqU9KY9nbl13CU3g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05972102,Ｍａｃオペレーター（ＤＴＰ）,ＤＴＰデーターの作成印刷に係るデーター処理印刷関係のデザイン,"165,000円〜200,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005972102&kJKbn=1&jGSHNo=2NCIz3kFFpjBOYPxajfGDQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06003002,医療保険データ分析システム（ＡＷＳ）の設計・構築,ＡＷＳのＩａａＳ・ＰａａＳ方式設計と構築を行って頂きます。,"400,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006003002&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06006102,インフラエンジニア（ＰＭ）,内容：大規模のサーバー構築／管理工程：要件定義、外部設計などの上流工程,"200,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006006102&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06007402,社内技術部管理（ＰＭ）,技術業務管理を担当して頂きます。・社内外システム対応業務・エンジニア教育、指導業務,"250,000円〜400,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006007402&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-06086602,電力系システム基盤エンジニア＜ＵＮＩＸ＞,電力系システムの基盤回りのエンジニアを募集いたします。※電力系の業務知識不要,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301006086602&kJKbn=1&jGSHNo=xS78072%2FUGUchkl70Y703w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-08376602,■ＯＲＡＣＬＥ管理業務,ＯＲＡＣＬＥデータベースにおける管理業務全般をご担当頂きます。オブジェクトの管理から領域の管理まで幅広く携わって頂くことが可能です。パフォーマンスチューニングなど段階的に難易度の高,"220,000円〜440,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304008376602&kJKbn=1&jGSHNo=uCuYr47j3XPBRFrNUeVtWQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-08405202,公共向けシステム開発　Ｊａｖａ　システム・エンジニア,公共向けシステムの設計・開発・テストを担当していただきます。開発言語はＪａｖａになります。,"300,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304008405202&kJKbn=1&jGSHNo=626qoqdDw0tZ9gCBgDaTmw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-08441302,損害保険システム設計・開発（Ｅｘｃｅｌ　ＶＢＡ）,損害保険（傷害新種）業務システムのオンライン化に伴う設計・開発・テストを担当していただきます。ＥｘｃｅｌＶＢＡの機能を利用して開発します。,"240,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304008441302&kJKbn=1&jGSHNo=626qoqdDw0tZ9gCBgDaTmw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-73166801,プログラマー,●パチンコ・スロット等の遊技機実機の液晶映像制御、サブ制御●ゲームアプリ（携帯・スマートフォン）の,"239,500円〜400,000円","										（1）10時00分〜18時30分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308073166801&kJKbn=1&jGSHNo=2fWcvS6baf0yUIKtrksKVA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
