求人番号,職種,仕事の内容,賃金,就業時間,事業所名,詳細
08020-02015411,システムエンジニア（経験者）,ソフトウェアの設計・開発業務となります。＊組込システム、監視制御システムなどの設計、開発を行います。,"200,000円〜450,000円","										（1）09時00分〜17時45分
",株式会社　インフォテック日立オフィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002015411&kJKbn=1&jGSHNo=i5CBUcJzb5vB%2BcLgVXvZeQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-07821011,組込みシステム開発（ＳＥ）,＊組込みシステムの設計及び開発を担当して頂きます。　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801007821011&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-07093511,ソフト開発ＳＥ,■業務アプリケーションシステム（Ｗｅｂ系、オープン系）の　ソフトウェア開発全般（要件定義～設計～プログラミング～　テスト）をご経験に応じたフェーズを担当して頂きます。,"220,000円〜400,000円",フレックスタイム制,株式会社東日本技術研究所　土浦事業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804007093511&kJKbn=1&jGSHNo=3R9CQZwdUeNxGRrGK77Ihw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-07548511,ヘルプデスク／ネットワークオペレーション,以下の業務を行っていただきます。・問い合わせ、トラブル対応,"190,500円〜270,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801007548511&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-07274211,システムエンジニア（Ｊａｖａ）,＊Ｗｅｂ系システムの開発を担当して頂きます。　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801007274211&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-07329811,プログラマー・ＳＥ,業務系・Ｗｅｂ系・制御系のソフトウェアの設計、開発を行います。暮らしに必要な電気、安心して飲める水、安全な運行の旅客鉄道。,"200,000円〜400,000円",フレックスタイム制,株式会社　ユートピア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801007329811&kJKbn=1&jGSHNo=zBrWtPy9EVE9w7XKyht4ZA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-06960911,サーバー、ネットワーク運用保守,データセンタでサーバー、ネットワークの運用保守業務を行っていただきます。・サーバーオペレーション、ネットワークオペレーション,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801006960911&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-06961111,ＩＴインフラ／サーバーネットワークエンジニア,下記の業務を行っていただきます。・サーバー基盤の設計・構築・運用・保守（Ｌｉｎｕｘ、Ｗｉｎｄｏｗｓ）,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801006961111&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-06963811,営業職,・新規、既存顧客へ案件受注や当社技術者の提案・契約締結に伴う契約書類の作成・顧客及び社員のフォロー,"249,539円〜459,781円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801006963811&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-06499211,システムエンジニア（Ｃ言語）,＊組込みシステムの設計及び開発を担当して頂きます。　【開発環境】　　・ＯＳ：Ｌｉｎｕｘ,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801006499211&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-01573211,システムエンジニア（Ｗｅｂ系）,＊Ｗｅｂ系システムの設計及び開発を担当していただきます。【開発環境】,"280,000円〜480,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802001573211&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-01519011,システムエンジニア（ＶＢ．Ｎｅｔ）,業務系システム開発を担当して頂きます。《開発環境》,"280,000円〜470,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　北関東営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802001519011&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-01520911,システムエンジニア（公共系システム開発）,公共系システム開発《開発環境》,"280,000円〜470,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　北関東営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802001520911&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-05964511,システムエンジニア（業務系）,＊業務系システムの設計及び開発を担当して頂きます。【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801005964511&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-01394111,システムエンジニア（業務アプリケーション開発）,＊業務アプリケーションの設計及び開発を担当していただきます。【開発環境】,"280,000円〜480,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802001394111&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13200-03900911,情報通信業／日立市,組み込み・制御系システムをはじめ、広範なニーズに対応できる総合的な技術力を誇ります。物流、電子マネー、医療、防災、セキュリティなど、絶対的な安定稼働・安定供給が求められる、社会の重,"199,000円〜416,000円",変形労働時間制,日本テクノストラクチャア　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1320003900911&kJKbn=1&jGSHNo=yt9xZptgOj3K3Hb3MaLENw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-04945311,システムエンジニア,システムエンジニア業務を行っていただきます。・システムへの提案業務（上流工程から作業を行っていただきます。提案は多岐にわたり　,"175,000円〜350,000円","										（1）09時00分〜17時30分
",株式会社　インフィックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801004945311&kJKbn=1&jGSHNo=2DyAXfTtXCQjPuuS%2F%2FoduQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-01244411,システムエンジニア（組込み系）,組込み系システムの設計及び開発を担当して頂きます。《開発環境》,"280,000円〜450,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　北関東営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802001244411&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-04680311,ソフトウエア開発,システム開発作業・主に制御系のシステム開発及び業務用パッケージソフト　の開発等。,"150,000円〜320,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801004680311&kJKbn=1&jGSHNo=NtVYvzJv68P3hNp2ZW193w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-04799211,システムエンジニア,自治体、金融、制御等のシステム開発（アプリケーション系）における以下のＳＥ作業を行います。・システム設計書の作成,"230,000円〜360,000円","										（1）09時00分〜17時30分
",デジタルスクエア　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801004799211&kJKbn=1&jGSHNo=IW4GkWTGRJtCGMdXuCnmDQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-04861211,システムエンジニア補助,システムエンジニア補助・システム開発の補助作業をして頂きます。・プログラミング作業,"175,000円〜250,000円","										（1）09時00分〜17時30分
",株式会社　インフィックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801004861211&kJKbn=1&jGSHNo=2DyAXfTtXCQjPuuS%2F%2FoduQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-04644511,システムエンジニア（制御系）,＊制御システムの設計及び開発を担当して頂きます。　【開発環境】,"270,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801004644511&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
